time_s,sleep_s,chunk,joules_total,cps,cpj,n_cores,freq_ghz,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
11.038069248199463,0.49889087677001953,0,17.637802124023438,476.7347552245876,27.155661915795385,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
11.53861665725708,0.4991142749786377,704,18.925506591796875,660.3980392672054,37.19847585507401,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
12.039129734039307,0.49901771545410156,0,18.562835693359375,660.3980392672054,37.19847585507401,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
12.53968358039856,0.4989907741546631,0,18.547515869140625,660.3980392672054,37.19847585507401,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
13.040236711502075,0.4991335868835449,608,18.113906860351562,548.3984715610638,33.5653707776766,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
13.540781021118164,0.4990561008453369,576,18.352218627929688,595.4617663756828,31.385851034021737,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
14.041318893432617,0.4989776611328125,0,18.105682373046875,595.4617663756828,31.385851034021737,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
14.541852235794067,0.4990651607513428,0,18.415252685546875,595.4617663756828,31.385851034021737,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
15.042384147644043,0.4991161823272705,0,18.2125244140625,595.4617663756828,31.385851034021737,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
15.542884111404419,0.49913549423217773,608,18.128143310546875,323.4039491784886,33.539011115731206,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
16.043431282043457,0.49926233291625977,0,18.639129638671875,323.4039491784886,33.539011115731206,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
16.543931245803833,0.4989490509033203,640,18.639083862304688,626.9982898646534,34.336451551372825,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
17.044484615325928,0.4992823600769043,0,18.797637939453125,626.9982898646534,34.336451551372825,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
17.544997930526733,0.4990401268005371,512,18.5592041015625,510.3347504145204,27.58738991166624,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
18.045543432235718,0.4990408420562744,0,19.128448486328125,510.3347504145204,27.58738991166624,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
18.546090364456177,0.4989900588989258,608,18.289443969726562,560.5537751847191,33.24321947711404,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
19.04665231704712,0.49894189834594727,0,18.080230712890625,560.5537751847191,33.24321947711404,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
19.547197103500366,0.4991157054901123,640,18.302703857421875,630.3190585357378,34.967511083914275,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
20.047744750976562,0.49903011322021484,0,19.709442138671875,630.3190585357378,34.967511083914275,1,1.3,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
20.54826045036316,0.4811079502105713,0,19.01202392578125,630.3190585357378,34.967511083914275,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
21.048820972442627,0.49913620948791504,0,18.216842651367188,630.3190585357378,34.967511083914275,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
21.549351453781128,0.499114990234375,608,18.794891357421875,334.1140754592508,32.34921598841316,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
22.049894332885742,0.49910664558410645,0,18.96905517578125,334.1140754592508,32.34921598841316,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
22.550426483154297,0.49907922744750977,768,19.202362060546875,786.4728171183658,39.995079645848925,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
23.05095672607422,0.4991018772125244,0,18.340133666992188,786.4728171183658,39.995079645848925,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
23.55150318145752,0.49916577339172363,544,18.505233764648438,573.9888382317511,29.3970887868076,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
24.052048683166504,0.49900341033935547,0,18.398086547851562,573.9888382317511,29.3970887868076,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
24.552595138549805,0.4990525245666504,608,18.986831665039062,591.2006636516151,32.02219363010027,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
25.053147792816162,0.4991018772125244,0,18.861465454101562,591.2006636516151,32.02219363010027,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
25.55369472503662,0.4990570545196533,544,17.786361694335938,607.4278135341768,30.58523206425273,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
26.054226398468018,0.4989964962005615,0,18.1561279296875,607.4278135341768,30.58523206425273,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
26.55436134338379,0.4990963935852051,0,18.25042724609375,607.4278135341768,30.58523206425273,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
27.05489492416382,0.49903392791748047,640,18.251052856445312,366.9721417727222,35.06647013922737,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
27.5554416179657,0.4990963935852051,0,18.4755859375,366.9721417727222,35.06647013922737,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
28.05594301223755,0.49915456771850586,640,17.778457641601562,692.3719809244787,35.99862332840398,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
28.55650544166565,0.49915385246276855,0,18.01068115234375,692.3719809244787,35.99862332840398,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
29.05704355239868,0.49909138679504395,640,17.7471923828125,658.6798589054824,36.06204216390962,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
29.557602405548096,0.4991319179534912,0,18.10723876953125,658.6798589054824,36.06204216390962,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
30.058132886886597,0.4990248680114746,608,17.954986572265625,615.1770037712332,33.86245918663922,1,1.4,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
30.558674812316895,0.4809081554412842,0,19.13690185546875,615.1770037712332,33.86245918663922,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
31.059223651885986,0.49904584884643555,544,18.766845703125,601.9922614775173,28.987290064915637,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
31.55976939201355,0.49910497665405273,0,18.109619140625,601.9922614775173,28.987290064915637,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
32.0603244304657,0.4991579055786133,0,19.012680053710938,601.9922614775173,28.987290064915637,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
32.56088209152222,0.4990658760070801,608,18.185470581054688,363.64466161575257,33.43328385647628,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
33.061440229415894,0.49906325340270996,0,19.20263671875,363.64466161575257,33.43328385647628,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
33.56198978424072,0.49901342391967773,768,18.525070190429688,875.60164593509,41.45733279848837,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
34.06254816055298,0.4991469383239746,0,18.287246704101562,875.60164593509,41.45733279848837,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
34.56310749053955,0.499065637588501,480,18.3194580078125,538.764859610445,26.201648531048225,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
35.063652753829956,0.49909353256225586,0,18.191116333007812,538.764859610445,26.201648531048225,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
35.564209938049316,0.4989485740661621,640,18.803009033203125,683.3092787908877,34.03710538402985,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
36.064754486083984,0.49904561042785645,576,18.247909545898438,643.3011370950087,31.56525949184502,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
36.56531357765198,0.49904704093933105,0,18.07342529296875,643.3011370950087,31.56525949184502,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
37.06585168838501,0.4990212917327881,0,18.8203125,643.3011370950087,31.56525949184502,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
37.566410541534424,0.4991023540496826,0,18.117935180664062,643.3011370950087,31.56525949184502,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
38.066964864730835,0.4990835189819336,608,18.719268798828125,377.87691655871794,32.479901140052135,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
38.5675106048584,0.4990272521972656,608,18.66461181640625,674.8156723472034,32.57501447019467,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
39.06805777549744,0.4990863800048828,0,18.0439453125,674.8156723472034,32.57501447019467,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
39.56861758232117,0.4988892078399658,768,18.2373046875,870.7261576752949,42.1114859437751,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
40.06916284561157,0.49890756607055664,0,18.5875244140625,870.7261576752949,42.1114859437751,1,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
40.569711685180664,0.48090600967407227,608,19.239425659179688,622.5789407426819,31.60177495786656,1,1.6,1.6,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,2.201
